popularity_rank,returned_spotify_id,wikidata_qid,spotify_name,monthly_listeners,followers,origin_cluster,origin_resolution,spotify_biography_present,biography_keyword_review,matching_musicbrainz_person,other_person_ids_in_musicbrainz_links,eligibility_review,eligibility_source_url,final_status,final_origin,manual_status,review_priority,mapping_tier,fua_code
126,0s4kXsjYeH0S1xRyVGN4NO,Q111548374,FLO,4183163,626883,,unresolved_generic_or_missing,True,False,,,,,evidence_for_missing_claim,London,not_reviewed,high,excluded_no_defensible_fua,
127,4GITZM5LCR2KcdlgEOrNLD,Q1421054,The Foundations,4165829,169026,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
128,3CjlHNtplJyTf9npxaPl5w,Q5118436,CHVRCHES,4152413,1434807,Glasgow,reported_place,True,False,,,,,confirmed,Glasgow,not_reviewed,,strict,UK004F
129,7zrkALJ9ayRjzysp4QYoEg,Q20711766,Maribou State,4147945,527128,,unresolved_generic_or_missing,True,False,,,,,evidence_for_missing_claim,Hertfordshire,not_reviewed,high,excluded_no_defensible_fua,
130,432R46LaYsJZV2Gmc4jUV5,Q172763,Joy Division,4140711,2965374,Manchester,editorial_city_cluster,True,False,,,,,confirmed,Salford,not_reviewed,,strict,UK008F
131,7avo0PmlW8O1YLEt9DnWQT,Q860988,Studio Killers,4136257,305458,,unresolved_generic_or_missing,True,False,,,,,evidence_for_missing_claim,Finland,not_reviewed,high,excluded_no_defensible_fua,
132,3M4ThdJR28z9eSMcQHAZ5G,Q1127565,The Fratellis,4131358,958629,Glasgow,reported_place,True,False,,,,,confirmed,Glasgow,not_reviewed,,strict,UK004F
133,2tRsMl4eGxwoNabM08Dm4I,Q83468,Judas Priest,4112763,4744039,Birmingham,reported_place,True,False,,,,,confirmed,Birmingham,not_reviewed,,strict,UK002F
134,3dBVyJ7JuOMt4GE9607Qin,Q211770,T. Rex,4010971,1266989,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
135,54QMjE4toDfiCryzYWCpXX,Q151783,Metronomy,3971668,1135985,Totnes,reported_place,True,False,,,,,confirmed,Totnes,not_reviewed,,strict,UK516F
136,7Fo8TAyGJr4VmhE68QamMf,Q595705,Talk Talk,3944807,712227,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
