city,population,input_bands,top_excluded_retained_bands,highest_excluded_bands,all_ten_value,all_ten_ratio,top_excluded_value,top_excluded_ratio,top_band_concentration,metric,raw_total_rank,all_ten_rank,top_excluded_rank
Sheffield,1217504,10,9,Arctic Monkeys,93656067,76.92464829684337,41354197,33.96637464846111,0.5584461495697871,monthly_listeners,3,1,1
Liverpool,1597536,10,9,The Beatles,71892005,45.001805906095385,33964369,21.260471751497306,0.527564031633281,monthly_listeners,5,2,4
Manchester,3595966,10,9,Oasis,138676765,38.56453731764984,99000292,27.530931048847513,0.28610757541106474,monthly_listeners,2,3,2
London,12666099,10,9,Coldplay,366760605,28.956082294951273,274726501,21.68990633974991,0.25093781269119675,monthly_listeners,1,4,3
Birmingham,3247941,10,9,ELO,83758431,25.78816271600993,65427767,20.144382856708297,0.21885156850657816,monthly_listeners,4,5,5
Glasgow,1895840,10,9,Franz Ferdinand,44115424,23.269592370664192,33307689,17.568829120600896,0.244987671432105,monthly_listeners,6,6,6
Bristol,1025309,10,9,Massive Attack,17389817,16.9605621329765,8696886,8.482209753352404,0.4998862840247255,monthly_listeners,8,7,7
Newcastle,1221203,10,9,The Animals,16201200,13.26659040306976,3876870,3.1746318998561254,0.760704762610177,monthly_listeners,9,8,9
Leeds,3070506,10,9,Alt-J,27602295,8.98949391403241,19491357,6.347929950307865,0.293850130940199,monthly_listeners,7,9,8
Leicester,967988,10,9,Kasabian,5439076,5.618949821692005,1789975,1.8491706508758372,0.6709045801161815,monthly_listeners,10,10,10
